codigo_mcc,descripcion,descripcion_combinada,descripcion_usda,descripcion_irs,reportable_irs
5532,Automotive Tire Stores,Automotive Tire Stores,Automotive Tire Stores,Automotive Tire Stores,No1.6041-3(c)
5533,"Automotive Parts, Accessories Stores","Automotive Parts, Accessories Stores","Automotive Parts, Accessories Stores",Automotive Parts and Accessories Stores,No1.6041-3(c)
5541,Service Stations ( with or without ancillary services),Service Stations ( with or without ancillary services),Service Stations ( with or without ancillary services),Service Stations,No1.6041-3(c)
5542,Automated Fuel Dispensers,Automated Fuel Dispensers,Automated Fuel Dispensers,Automated Fuel Dispensers,No1.6041-3(c)
5551,Boat Dealers,Boat Dealers,Boat Dealers,Boat Dealers,No1.6041-3(c)
5561,"Recreational and Utility Trailers, Camp Dealers","Recreational and Utility Trailers, Camp Dealers","Recreational and Utility Trailers, Camp Dealers","Motorcycle Shops, Dealers",No1.6041-3(c)
5571,Motorcycle Dealers,Motorcycle Dealers,Motorcycle Dealers,Motorcycle Shops and Dealers,No1.6041-3(c)
5592,Motor Home Dealers,Motor Home Dealers,Motor Home Dealers,Motor Homes Dealers,No1.6041-3(c)
5598,Snowmobile Dealers,Snowmobile Dealers,Snowmobile Dealers,Snowmobile Dealers,No1.6041-3(c)
5599,Miscellaneous Auto Dealers,Miscellaneous Auto Dealers,,Miscellaneous Auto Dealers,No1.6041-3(c)
5611,Men’s and Boy’s Clothing and Accessories Stores,Men’s and Boy’s Clothing and Accessories Stores,Men’s and Boy’s Clothing and Accessories Stores,Men’s and Boy’s Clothing and Accessories Stores,No1.6041-3(c)
5621,Women’s Ready-to-Wear Stores,Women’s Ready-to-Wear Stores,Women’s Ready-to-Wear Stores,Women’s Ready-To-Wear Stores,No1.6041-3(c)
5631,Women’s Accessory and Specialty Shops,Women’s Accessory and Specialty Shops,Women’s Accessory and Specialty Shops,Women’s Accessory and Specialty Shops,No1.6041-3(c)
5641,Children’s and Infant’s Wear Stores,Children’s and Infant’s Wear Stores,Children’s and Infant’s Wear Stores,Children’s and Infant’s Wear Stores,No1.6041-3(c)
5651,Family Clothing Stores,Family Clothing Stores,Family Clothing Stores,Family Clothing Stores,No1.6041-3(c)
5655,"Sports Apparel, Riding Apparel Stores","Sports Apparel, Riding Apparel Stores","Sports Apparel, Riding Apparel Stores",Sports and Riding Apparel Stores,No1.6041-3(c)
5661,Shoe Stores,Shoe Stores,Shoe Stores,Shoe Stores,No1.6041-3(c)
5681,Furriers and Fur Shops,Furriers and Fur Shops,Furriers and Fur Shops,Furriers and Fur Shops,No1.6041-3(c)
5691,Men’s and Women’s Clothing Stores,Men’s and Women’s Clothing Stores,Men’s and Women’s Clothing Stores,"Men’s, Women’s Clothing Stores",No1.6041-3(c)
5697,"Tailors, Seamstress, Mending, and Alterations","Tailors, Seamstress, Mending, and Alterations","Tailors, Seamstress, Mending, and Alterations","Tailors, Alterations",SÍ
5698,Wig and Toupee Stores,Wig and Toupee Stores,Wig and Toupee Stores,Wig and Toupee Stores,No1.6041-3(c)
5699,Miscellaneous Apparel and Accessory Shops,Miscellaneous Apparel and Accessory Shops,Miscellaneous Apparel and Accessory Shops,Miscellaneous Apparel and Accessory Shops,No1.6041-3(c)
5712,"Furniture, Home Furnishings, and Equipment Stores, ExceptAppliances","Furniture, Home Furnishings, and Equipment Stores, ExceptAppliances","Furniture, Home Furnishings, and Equipment Stores, ExceptAppliances","Furniture, Home Furnishings, and Equipment Stores, Except Appliances",No1.6041-3(c)
5713,Floor Covering Stores,Floor Covering Stores,Floor Covering Stores,Floor Covering Stores,No1.6041-3(c)
5714,"Drapery, Window Covering and Upholstery Stores","Drapery, Window Covering and Upholstery Stores","Drapery, Window Covering and Upholstery Stores","Drapery, Window Covering, and Upholstery Stores",No1.6041-3(c)
5718,"Fireplace, Fireplace Screens, and Accessories Stores","Fireplace, Fireplace Screens, and Accessories Stores","Fireplace, Fireplace Screens, and Accessories Stores","Fireplace, Fireplace Screens, and Accessories Stores",No1.6041-3(c)
5719,Miscellaneous Home Furnishing Specialty Stores,Miscellaneous Home Furnishing Specialty Stores,Miscellaneous Home Furnishing Specialty Stores,Miscellaneous Home Furnishing Specialty Stores,No1.6041-3(c)
5722,Household Appliance Stores,Household Appliance Stores,Household Appliance Stores,Household Appliance Stores,No1.6041-3(c)
5732,Electronic Sales,Electronic Sales,Electronic Sales,Electronics Stores,No1.6041-3(c)
5733,"Music Stores, Musical Instruments, Piano Sheet Music","Music Stores, Musical Instruments, Piano Sheet Music","Music Stores, Musical Instruments, Piano Sheet Music","Music Stores-Musical Instruments, Pianos, and Sheet Music",No1.6041-3(c)
5734,Computer Software Stores,Computer Software Stores,Computer Software Stores,Computer Software Stores,No1.6041-3(c)
5735,Record Shops,Record Shops,Record Shops,Record Stores,No1.6041-3(c)
5811,Caterers,Caterers,Caterers,Caterers,SÍ
5812,Eating places and Restaurants,Eating places and Restaurants,Eating places and Restaurants,"Eating Places, Restaurants",No1.6041-3(c)
5813,"Drinking Places (Alcoholic Beverages), Bars, Taverns, Cocktail lounges, Nightclubs and Discotheques","Drinking Places (Alcoholic Beverages), Bars, Taverns, Cocktail lounges, Nightclubs and Discotheques","Drinking Places (Alcoholic Beverages), Bars, Taverns, Cocktail lounges, Nightclubs and Discotheques",Drinking Places,No1.6041-3(c)
5814,Fast Food Restaurants,Fast Food Restaurants,Fast Food Restaurants,Fast Food Restaurants,No1.6041-3(c)
5815,"Digital Goods: Media, Books, Movies, Music",,,,
5816,Digital Goods: Games,,,,
5817,Digital Goods: Applications (Excludes Games),,,,
5818,Digital Goods: Large Digital Goods Merchant,,,,
5832,"Antique Shops – Sales, Repairs, and Restoration Services","Antique Shops – Sales, Repairs, and Restoration Services","Antique Shops – Sales, Repairs, and Restoration Services",,
5912,Drug Stores and Pharmacies,Drug Stores and Pharmacies,Drug Stores and Pharmacies,Drug Stores and Pharmacies,No1.6041-3(c)
5921,"Package Stores – Beer, Wine, and Liquor","Package Stores – Beer, Wine, and Liquor","Package Stores – Beer, Wine, and Liquor","Package Stores-Beer, Wine, and Liquor",No1.6041-3(c)
5931,Used Merchandise and Secondhand Stores,Used Merchandise and Secondhand Stores,Used Merchandise and Secondhand Stores,Used Merchandise and Secondhand Stores,No1.6041-3(c)
5932,Antique Shops,Antique Shops,,Antique Shops,No1.6041-3(c)
5933,Pawn Shops and Salvage Yards,Pawn Shops and Salvage Yards,Pawn Shops and Salvage Yards,Pawn Shops,No1.6041-3(c)
5935,Wrecking and Salvage Yards,Wrecking and Salvage Yards,Wrecking and Salvage Yards,Wrecking and Salvage Yards,SÍ
5937,Antique Reproductions,Antique Reproductions,Antique Reproductions,Antique Reproductions,No1.6041-3(c)
5940,Bicycle Shops – Sales and Service,Bicycle Shops – Sales and Service,Bicycle Shops – Sales and Service,Bicycle Shops,No1.6041-3(c)
5941,Sporting Goods Stores,Sporting Goods Stores,Sporting Goods Stores,Sporting Goods Stores,No1.6041-3(c)
5942,Book Stores,Book Stores,Book Stores,Book Stores,No1.6041-3(c)
5943,"Stationery Stores, Office and School Supply Stores","Stationery Stores, Office and School Supply Stores","Stationery Stores, Office and School Supply Stores","Stationery Stores, Office, and School Supply Stores",No1.6041-3(c)
5944,"Watch, Clock, Jewelry, and Silverware Stores","Watch, Clock, Jewelry, and Silverware Stores","Watch, Clock, Jewelry, and Silverware Stores","Jewelry Stores, Watches, Clocks, and Silverware Stores",No1.6041-3(c)
5945,"Hobby, Toy, and Game Shops","Hobby, Toy, and Game Shops","Hobby, Toy, and Game Shops","Hobby, Toy, and Game Shops",No1.6041-3(c)
5946,Camera and Photographic Supply Stores,Camera and Photographic Supply Stores,Camera and Photographic Supply Stores,Camera and Photographic Supply Stores,No1.6041-3(c)
5947,"Card Shops, Gift, Novelty, and Souvenir Shops","Card Shops, Gift, Novelty, and Souvenir Shops","Card Shops, Gift, Novelty, and Souvenir Shops","Gift, Card, Novelty, and Souvenir Shops",No1.6041-3(c)
5948,Leather Goods Stores,Leather Goods Stores,Leather Goods Stores,Luggage and Leather Goods Stores,No1.6041-3(c)
5949,"Sewing, Needle, Fabric, and Price Goods Stores","Sewing, Needle, Fabric, and Price Goods Stores","Sewing, Needle, Fabric, and Price Goods Stores","Sewing, Needlework, Fabric, and Piece Goods Stores",No1.6041-3(c)
5950,Glassware/Crystal Stores,Glassware/Crystal Stores,Glassware/Crystal Stores,"Glassware, Crystal Stores",No1.6041-3(c)
5960,Direct Marketing- Insurance Service,Direct Marketing- Insurance Service,Direct Marketing- Insurance Service,Direct Marketing - Insurance Services,SÍ
5961,"Mail Order Houses Including Catalog Order Stores, Book/Record Clubs (No longer permitted for U.S. original presentments)","Mail Order Houses Including Catalog Order Stores, Book/Record Clubs (No longer permitted for U.S. original presentments)","Mail Order Houses Including Catalog Order Stores, Book/Record Clubs (No longer permitted for U.S. original presentments)",,
5962,Direct Marketing – Travel Related Arrangements Services,Direct Marketing – Travel Related Arrangements Services,Direct Marketing – Travel Related Arrangements Services,Direct Marketing - Travel,SÍ
5963,Door-to-Door Sales,Door-to-Door Sales,Door-to-Door Sales,Door-To-Door Sales,No1.6041-3(c)
5964,Direct Marketing – Catalog Merchant,Direct Marketing – Catalog Merchant,Direct Marketing – Catalog Merchant,Direct Marketing - Catalog Merchant,No1.6041-3(c)
5965,Direct Marketing – Catalog and Catalog and Retail Merchant,Direct Marketing – Catalog and Catalog and Retail Merchant,Direct Marketing – Catalog and Catalog and Retail Merchant,Direct Marketing - Combination Catalog and Retail Merchant,No1.6041-3(c)
5966,Direct Marketing- Outbound Telemarketing Merchant,Direct Marketing- Outbound Telemarketing Merchant,Direct Marketing- Outbound Telemarketing Merchant,Direct Marketing - Outbound Tele,No1.6041-3(c)
5967,Direct Marketing – Inbound Teleservices Merchant,Direct Marketing – Inbound Teleservices Merchant,Direct Marketing – Inbound Teleservices Merchant,Direct Marketing - Inbound Tele,No1.6041-3(c)
5968,Direct Marketing – Continuity/Subscription Merchant,Direct Marketing – Continuity/Subscription Merchant,Direct Marketing – Continuity/Subscription Merchant,Direct Marketing - Subscription,No1.6041-3(c)
5969,Direct Marketing – Not Elsewhere Classified,Direct Marketing – Not Elsewhere Classified,Direct Marketing – Not Elsewhere Classified,Direct Marketing - Other,No1.6041-3(c)
5970,Artist’s Supply and Craft Shops,Artist’s Supply and Craft Shops,Artist’s Supply and Craft Shops,Artist’s Supply and Craft Shops,No1.6041-3(c)
5971,Art Dealers and Galleries,Art Dealers and Galleries,Art Dealers and Galleries,Art Dealers and Galleries,No1.6041-3(c)
5972,Stamp and Coin Stores – Philatelic and Numismatic Supplies,Stamp and Coin Stores – Philatelic and Numismatic Supplies,Stamp and Coin Stores – Philatelic and Numismatic Supplies,Stamp and Coin Stores,No1.6041-3(c)
5973,Religious Goods Stores,Religious Goods Stores,Religious Goods Stores,Religious Goods Stores,No1.6041-3(c)
5975,"Hearing Aids – Sales, Service, and Supply Stores","Hearing Aids – Sales, Service, and Supply Stores","Hearing Aids – Sales, Service, and Supply Stores",Hearing Aids Sales and Supplies,No1.6041-3(c)
5976,Orthopedic Goods Prosthetic Devices,Orthopedic Goods Prosthetic Devices,Orthopedic Goods Prosthetic Devices,Orthopedic Goods - Prosthetic Devices,No1.6041-3(c)
5977,Cosmetic Stores,Cosmetic Stores,Cosmetic Stores,Cosmetic Stores,No1.6041-3(c)
5978,"Typewriter Stores – Sales, Rental, Service","Typewriter Stores – Sales, Rental, Service","Typewriter Stores – Sales, Rental, Service",Typewriter Stores,No1.6041-3(c)
5983,"Fuel – Fuel Oil, Wood, Coal, Liquefied Petroleum","Fuel – Fuel Oil, Wood, Coal, Liquefied Petroleum","Fuel – Fuel Oil, Wood, Coal, Liquefied Petroleum",Fuel Dealers (Non Automotive),No1.6041-3(c)
5992,Florists,Florists,Florists,Florists,No1.6041-3(c)
5993,Cigar Stores and Stands,Cigar Stores and Stands,Cigar Stores and Stands,Cigar Stores and Stands,No1.6041-3(c)
5994,News Dealers and Newsstands,News Dealers and Newsstands,News Dealers and Newsstands,News Dealers and Newsstands,No1.6041-3(c)
5995,"Pet Shops, Pet Foods, and Supplies Stores","Pet Shops, Pet Foods, and Supplies Stores","Pet Shops, Pet Foods, and Supplies Stores","Pet Shops, Pet Food, and Supplies",No1.6041-3(c)
5996,"Swimming Pools – Sales, Service, and Supplies","Swimming Pools – Sales, Service, and Supplies","Swimming Pools – Sales, Service, and Supplies",Swimming Pools Sales,No1.6041-3(c)
5997,Electric Razor Stores – Sales and Service,Electric Razor Stores – Sales and Service,Electric Razor Stores – Sales and Service,Electric Razor Stores,No1.6041-3(c)
5998,Tent and Awning Shops,Tent and Awning Shops,Tent and Awning Shops,Tent and Awning Shops,No1.6041-3(c)
5999,Miscellaneous and Specialty Retail Stores,Miscellaneous and Specialty Retail Stores,Miscellaneous and Specialty Retail Stores,Miscellaneous Specialty Retail,No1.6041-3(c)
6010,Financial Institutions – Manual Cash Disbursements,Financial Institutions – Manual Cash Disbursements,Financial Institutions – Manual Cash Disbursements,Manual Cash Disburse,No1.6041-3(c)
6011,Financial Institutions – Manual Cash Disbursements,Financial Institutions – Manual Cash Disbursements,Financial Institutions – Manual Cash Disbursements,Automated Cash Disburse,No1.6041-3(c)
6012,Financial Institutions – Merchandise and Services,Financial Institutions – Merchandise and Services,Financial Institutions – Merchandise and Services,Financial Institutions,SÍ
6051,"Non-Financial Institutions – Foreign Currency, Money Orders (not wire transfer) and Travelers Cheques","Non-Financial Institutions – Foreign Currency, Money Orders (not wire transfer) and Travelers Cheques","Non-Financial Institutions – Foreign Currency, Money Orders (not wire transfer) and Travelers Cheques","Non-FI, Money Orders",No1.6041-3(c)
6211,Security Brokers/Dealers,Security Brokers/Dealers,Security Brokers/Dealers,Security Brokers/Dealers,SÍ
6300,"Insurance Sales, Underwriting, and Premiums","Insurance Sales, Underwriting, and Premiums","Insurance Sales, Underwriting, and Premiums","Insurance Underwriting, Premiums",No1.6041-3(c)
6381,"Insurance Premiums, (no longer valid for first presentment work)","Insurance Premiums, (no longer valid for first presentment work)","Insurance Premiums, (no longer valid for first presentment work)",,
6399,"Insurance, Not Elsewhere Classified ( no longer valid forfirst presentment work)","Insurance, Not Elsewhere Classified ( no longer valid forfirst presentment work)","Insurance, Not Elsewhere Classified ( no longer valid forfirst presentment work)",Insurance - Default,No1.6041-3(c)
6513,Real Estate Agents and Managers - Rentals,Real Estate Agents and Managers - Rentals,,Real Estate Agents and Managers - Rentals,SÍ
7011,"Lodging – Hotels, Motels, Resorts, Central Reservation Services (not elsewhere classified)","Lodging – Hotels, Motels, Resorts, Central Reservation Services (not elsewhere classified)","Lodging – Hotels, Motels, Resorts, Central Reservation Services (not elsewhere classified)","Hotels, Motels, and Resorts",SÍ
7012,Timeshares,Timeshares,Timeshares,Timeshares,SÍ
7032,Sporting and Recreational Camps,Sporting and Recreational Camps,Sporting and Recreational Camps,Sporting/Recreation Camps,SÍ
7033,Trailer Parks and Camp Grounds,Trailer Parks and Camp Grounds,Trailer Parks and Camp Grounds,"Trailer Parks, Campgrounds",SÍ
7210,"Laundry, Cleaning, and Garment Services","Laundry, Cleaning, and Garment Services","Laundry, Cleaning, and Garment Services","Laundry, Cleaning Services",SÍ
7211,Laundry – Family and Commercial,Laundry – Family and Commercial,Laundry – Family and Commercial,Laundries,SÍ
7216,Dry Cleaners,Dry Cleaners,Dry Cleaners,Dry Cleaners,SÍ
7217,Carpet and Upholstery Cleaning,Carpet and Upholstery Cleaning,Carpet and Upholstery Cleaning,Carpet/Upholstery Cleaning,SÍ
7221,Photographic Studios,Photographic Studios,Photographic Studios,Photographic Studios,SÍ
7230,Barber and Beauty Shops,Barber and Beauty Shops,Barber and Beauty Shops,Barber and Beauty Shops,SÍ
7251,"Shop Repair Shops and Shoe Shine Parlors, and Hat Cleaning Shops","Shop Repair Shops and Shoe Shine Parlors, and Hat Cleaning Shops","Shop Repair Shops and Shoe Shine Parlors, and Hat Cleaning Shops",Shoe Repair/Hat Cleaning,SÍ
7261,Funeral Service and Crematories,Funeral Service and Crematories,Funeral Service and Crematories,"Funeral Services, Crematories",SÍ
7273,Dating and Escort Services,Dating and Escort Services,Dating and Escort Services,Dating/Escort Services,SÍ
7276,Tax Preparation Service,Tax Preparation Service,Tax Preparation Service,Tax Preparation Services,SÍ
7277,"Counseling Service – Debt, Marriage, Personal","Counseling Service – Debt, Marriage, Personal","Counseling Service – Debt, Marriage, Personal",Counseling Services,SÍ
7278,"Buying/Shopping Services, Clubs","Buying/Shopping Services, Clubs","Buying/Shopping Services, Clubs",Buying/Shopping Services,SÍ
7296,"Clothing Rental – Costumes, Formal Wear, Uniforms","Clothing Rental – Costumes, Formal Wear, Uniforms","Clothing Rental – Costumes, Formal Wear, Uniforms",Clothing Rental,SÍ
7297,Massage Parlors,Massage Parlors,Massage Parlors,Massage Parlors,SÍ
7298,Health and Beauty Shops,Health and Beauty Shops,Health and Beauty Shops,Health and Beauty Spas,SÍ
7299,Miscellaneous Personal Services ( not elsewhere classifies),Miscellaneous Personal Services ( not elsewhere classifies),Miscellaneous Personal Services ( not elsewhere classifies),Miscellaneous General Services,SÍ
7311,Advertising Services,Advertising Services,Advertising Services,Advertising Services,SÍ
7321,Consumer Credit Reporting Agencies,Consumer Credit Reporting Agencies,Consumer Credit Reporting Agencies,Credit Reporting Agencies,SÍ
7332,Blueprinting and Photocopying Services,Blueprinting and Photocopying Services,Blueprinting and Photocopying Services,,
7333,"Commercial Photography, Art and Graphics","Commercial Photography, Art and Graphics","Commercial Photography, Art and Graphics","Commercial Photography, Art and Graphics",SÍ
7338,"Quick Copy, Reproduction and Blueprinting Services","Quick Copy, Reproduction and Blueprinting Services","Quick Copy, Reproduction and Blueprinting Services","Quick Copy, Repro, and Blueprint",SÍ
7339,Stenographic and Secretarial Support Services,Stenographic and Secretarial Support Services,Stenographic and Secretarial Support Services,Secretarial Support Services,SÍ
7342,Exterminating and Disinfecting Services,Exterminating and Disinfecting Services,Exterminating and Disinfecting Services,Exterminating Services,SÍ
7349,"Cleaning and Maintenance, Janitorial Services","Cleaning and Maintenance, Janitorial Services","Cleaning and Maintenance, Janitorial Services",Cleaning and Maintenance,SÍ
7361,"Employment Agencies, Temporary Help Services","Employment Agencies, Temporary Help Services","Employment Agencies, Temporary Help Services",Employment/Temp Agencies,SÍ
7372,"Computer Programming, Integrated Systems Design and Data Processing Services","Computer Programming, Integrated Systems Design and Data Processing Services","Computer Programming, Integrated Systems Design and Data Processing Services",Computer Programming,SÍ
7375,Information Retrieval Services,Information Retrieval Services,Information Retrieval Services,Information Retrieval Services,SÍ
7379,"Computer Maintenance and Repair Services, Not Elsewhere Classified","Computer Maintenance and Repair Services, Not Elsewhere Classified","Computer Maintenance and Repair Services, Not Elsewhere Classified",Computer Repair,SÍ
7392,"Management, Consulting, and Public Relations Services","Management, Consulting, and Public Relations Services","Management, Consulting, and Public Relations Services","Consulting, Public Relations",SÍ
7393,Protective and Security Services – Including Armored Carsand Guard Dogs,Protective and Security Services – Including Armored Carsand Guard Dogs,Protective and Security Services – Including Armored Carsand Guard Dogs,Detective Agencies,SÍ
7394,"Equipment Rental and Leasing Services, Tool Rental, Furniture Rental, and Appliance Rental","Equipment Rental and Leasing Services, Tool Rental, Furniture Rental, and Appliance Rental","Equipment Rental and Leasing Services, Tool Rental, Furniture Rental, and Appliance Rental",Equipment Rental,SÍ
7395,"Photofinishing Laboratories, Photo Developing","Photofinishing Laboratories, Photo Developing","Photofinishing Laboratories, Photo Developing",Photo Developing,SÍ
7399,"Business Services, Not Elsewhere Classified","Business Services, Not Elsewhere Classified","Business Services, Not Elsewhere Classified",Miscellaneous Business Services,SÍ
7511,Truck Stop,Truck Stop,,Truck Stop,SÍ
7512,Car Rental Companies ( Not Listed Below),Car Rental Companies ( Not Listed Below),Car Rental Companies ( Not Listed Below),Car Rental Agencies,SÍ
7513,Truck and Utility Trailer Rentals,Truck and Utility Trailer Rentals,Truck and Utility Trailer Rentals,Truck/Utility Trailer Rentals,SÍ
7519,Motor Home and Recreational Vehicle Rentals,Motor Home and Recreational Vehicle Rentals,Motor Home and Recreational Vehicle Rentals,Recreational Vehicle Rentals,SÍ
7523,Automobile Parking Lots and Garages,Automobile Parking Lots and Garages,Automobile Parking Lots and Garages,"Parking Lots, Garages",SÍ
7531,Automotive Body Repair Shops,Automotive Body Repair Shops,Automotive Body Repair Shops,Auto Body Repair Shops,SÍ
7534,Tire Re-treading and Repair Shops,Tire Re-treading and Repair Shops,Tire Re-treading and Repair Shops,Tire Retreading and Repair,SÍ
7535,Paint Shops – Automotive,Paint Shops – Automotive,Paint Shops – Automotive,Auto Paint Shops,SÍ
7538,Automotive Service Shops,Automotive Service Shops,Automotive Service Shops,Auto Service Shops,SÍ
7542,Car Washes,Car Washes,Car Washes,Car Washes,SÍ
7549,Towing Services,Towing Services,Towing Services,Towing Services,SÍ
7622,Radio Repair Shops,Radio Repair Shops,Radio Repair Shops,Electronics Repair Shops,SÍ
7623,Air Conditioning and Refrigeration Repair Shops,Air Conditioning and Refrigeration Repair Shops,Air Conditioning and Refrigeration Repair Shops,"A/C, Refrigeration Repair",SÍ
7629,Electrical And Small Appliance Repair Shops,Electrical And Small Appliance Repair Shops,Electrical And Small Appliance Repair Shops,Small Appliance Repair,SÍ
7631,"Watch, Clock, and Jewelry Repair","Watch, Clock, and Jewelry Repair","Watch, Clock, and Jewelry Repair",Watch/Jewelry Repair,SÍ
7641,"Furniture, Furniture Repair, and Furniture Refinishing","Furniture, Furniture Repair, and Furniture Refinishing","Furniture, Furniture Repair, and Furniture Refinishing","Furniture Repair, Refinishing",SÍ
7692,Welding Repair,Welding Repair,Welding Repair,Welding Repair,SÍ
7699,Repair Shops and Related Services –Miscellaneous,Repair Shops and Related Services –Miscellaneous,Repair Shops and Related Services –Miscellaneous,Miscellaneous Repair Shops,SÍ
7800,Government-Owned Lotteries,,,,
7801,Government-Licensed On-Line Casinos (On-Line Gambling),,,,
7802,Government-Licensed Horse/Dog Racing,,,,
7829,Motion Pictures and Video Tape Production and Distribution,Motion Pictures and Video Tape Production and Distribution,Motion Pictures and Video Tape Production and Distribution,Picture/Video Production,SÍ
7832,Motion Picture Theaters,Motion Picture Theaters,Motion Picture Theaters,Motion Picture Theaters,SÍ
7841,Video Tape Rental Stores,Video Tape Rental Stores,Video Tape Rental Stores,Video Tape Rental Stores,SÍ
7911,"Dance Halls, Studios and Schools","Dance Halls, Studios and Schools","Dance Halls, Studios and Schools","Dance Hall, Studios, Schools",SÍ
7922,"Theatrical Producers (Except Motion Pictures), Ticket Agencies","Theatrical Producers (Except Motion Pictures), Ticket Agencies","Theatrical Producers (Except Motion Pictures), Ticket Agencies",Theatrical Ticket Agencies,SÍ
7929,"Bands, Orchestras, and Miscellaneous Entertainers (Not Elsewhere Classified)","Bands, Orchestras, and Miscellaneous Entertainers (Not Elsewhere Classified)","Bands, Orchestras, and Miscellaneous Entertainers (Not Elsewhere Classified)","Bands, Orchestras",SÍ
7932,Billiard and Pool Establishments,Billiard and Pool Establishments,Billiard and Pool Establishments,Billiard/Pool Establishments,SÍ
7933,Bowling Alleys,Bowling Alleys,Bowling Alleys,Bowling Alleys,SÍ
7941,"Commercial Sports, Athletic Fields, Professional Sport Clubs, and Sport Promoters","Commercial Sports, Athletic Fields, Professional Sport Clubs, and Sport Promoters","Commercial Sports, Athletic Fields, Professional Sport Clubs, and Sport Promoters",Sports Clubs/Fields,SÍ
7991,Tourist Attractions and Exhibits,Tourist Attractions and Exhibits,Tourist Attractions and Exhibits,Tourist Attractions and Exhibits,SÍ
7992,Golf Courses – Public,Golf Courses – Public,Golf Courses – Public,Golf Courses - Public,SÍ
7993,Video Amusement Game Supplies,Video Amusement Game Supplies,Video Amusement Game Supplies,Video Amusement Game Supplies,No1.6041-3(c)
7994,Video Game Arcades/Establishments,Video Game Arcades/Establishments,Video Game Arcades/Establishments,Video Game Arcades,SÍ
7995,"Betting (including Lottery Tickets, Casino Gaming Chips, Off-track Betting and Wagers at Race Tracks)","Betting (including Lottery Tickets, Casino Gaming Chips, Off-track Betting and Wagers at Race Tracks)","Betting (including Lottery Tickets, Casino Gaming Chips, Off-track Betting and Wagers at Race Tracks)",Betting/Casino Gambling,SÍ
7996,"Amusement Parks, Carnivals, Circuses, Fortune Tellers","Amusement Parks, Carnivals, Circuses, Fortune Tellers","Amusement Parks, Carnivals, Circuses, Fortune Tellers",Amusement Parks/Carnivals,SÍ
7997,"Membership Clubs (Sports, Recreation, Athletic), Country Clubs, and Private Golf Courses","Membership Clubs (Sports, Recreation, Athletic), Country Clubs, and Private Golf Courses","Membership Clubs (Sports, Recreation, Athletic), Country Clubs, and Private Golf Courses",Country Clubs,SÍ
7998,"Aquariums, Sea-aquariums, Dolphinariums","Aquariums, Sea-aquariums, Dolphinariums","Aquariums, Sea-aquariums, Dolphinariums",Aquariums,SÍ
7999,Recreation Services (Not Elsewhere Classified),Recreation Services (Not Elsewhere Classified),Recreation Services (Not Elsewhere Classified),Miscellaneous Recreation Services,SÍ
8011,Doctors and Physicians (Not Elsewhere Classified),Doctors and Physicians (Not Elsewhere Classified),Doctors and Physicians (Not Elsewhere Classified),Doctors,SÍ
8021,Dentists and Orthodontists,Dentists and Orthodontists,Dentists and Orthodontists,"Dentists, Orthodontists",SÍ
8031,Osteopaths,Osteopaths,Osteopaths,Osteopaths,SÍ
8041,Chiropractors,Chiropractors,Chiropractors,Chiropractors,SÍ
8042,Optometrists and Ophthalmologists,Optometrists and Ophthalmologists,Optometrists and Ophthalmologists,"Optometrists, Ophthalmologist",SÍ
8043,"Opticians, Opticians Goods and Eyeglasses","Opticians, Opticians Goods and Eyeglasses","Opticians, Opticians Goods and Eyeglasses","Opticians, Eyeglasses",SÍ
8044,"Opticians, Optical Goods, and Eyeglasses (no longer validfor first presentments)","Opticians, Optical Goods, and Eyeglasses (no longer validfor first presentments)","Opticians, Optical Goods, and Eyeglasses (no longer validfor first presentments)",,
8049,Podiatrists and Chiropodists,Podiatrists and Chiropodists,Podiatrists and Chiropodists,"Chiropodists, Podiatrists",SÍ
8050,Nursing and Personal Care Facilities,Nursing and Personal Care Facilities,Nursing and Personal Care Facilities,Nursing/Personal Care,SÍ
8062,Hospitals,Hospitals,Hospitals,Hospitals,SÍ
8071,Medical and Dental Laboratories,Medical and Dental Laboratories,Medical and Dental Laboratories,Medical and Dental Labs,SÍ
8099,Medical Services and Health Practitioners (Not Elsewhere Classified),Medical Services and Health Practitioners (Not Elsewhere Classified),Medical Services and Health Practitioners (Not Elsewhere Classified),Medical Services,SÍ
8111,Legal Services and Attorneys,Legal Services and Attorneys,Legal Services and Attorneys,"Legal Services, Attorneys",SÍ
8211,Elementary and Secondary Schools,Elementary and Secondary Schools,Elementary and Secondary Schools,"Elementary, Secondary Schools",No1.6041-3(p)(2)
8220,"Colleges, Junior Colleges, Universities, and ProfessionalSchools","Colleges, Junior Colleges, Universities, and ProfessionalSchools","Colleges, Junior Colleges, Universities, and ProfessionalSchools","Colleges, Universities",No1.6041-3(p)(2)
8241,Correspondence Schools,Correspondence Schools,Correspondence Schools,Correspondence Schools,No1.6041-3(p)(2)
8244,Business and Secretarial Schools,Business and Secretarial Schools,Business and Secretarial Schools,Business/Secretarial Schools,No1.6041-3(p)(2)
8249,Vocational Schools and Trade Schools,Vocational Schools and Trade Schools,Vocational Schools and Trade Schools,Vocational/Trade Schools,No1.6041-3(p)(2)
8299,Schools and Educational Services ( Not Elsewhere Classified),Schools and Educational Services ( Not Elsewhere Classified),Schools and Educational Services ( Not Elsewhere Classified),Educational Services,SÍ
8351,Child Care Services,Child Care Services,Child Care Services,Child Care Services,SÍ
